authors,year,title,venue,urlstr,url,extra,abstract,abstract_extra
"Bös, Gregor E.",2022,"Review of Emiliano Trizio: Philosophy’s Nature. Husserl’s Phenomenology, Natural Science, and Metaphysics",Phenomenological Reviews,open access,https://reviews.ophen.org/2022/10/30/emiliano-trizio-philosophys-nature-husserl-review/,"(invited book review, 5,000 words)",,
"Bös, Gregor E.",2022,"Rare Encounters: Wiltsche and Berghofer’s Phenomenological Approaches to Physics",Husserl Studies,doi,https://doi.org/10.1007/s10743-022-09307-3,"(peer reviewed book-review, 5,000 words)",,
"Bös, Gregor E.",2023,"Review of Jörg Noller: Digitalität. Zur Philosophie der digitalen Lebenswelt",Phenomenological Reviews,open access,"https://reviews.ophen.org/2023/05/18/jorg-noller-digitalitat-zur-philosophie-der-digitalen-lebenswelt/",(invited book review),,
"Bös, Gregor E., Clavel Vázquez M. J., Cohen M., Colombo M." ,2024,"Review of Cameron J. Buckner: From Deep Learning to Rational Machine: What the History of Philosophy Can Teach Us about the Future of Artificial Intelligence",Endeavour ,open access,"https://doi.org/10.1016/j.endeavour.2024.100938",(invited book review),,
